Global Temperature Anomalies (deg C) AIRS v7 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,*******,*******,*******,*******,*******,*******,*******,*******,  0.130,  0.020, -0.021, -0.077,*******,*******,*******,*******,*******,  0.043
2003,  0.133, -0.023, -0.014,  0.029,  0.085,  0.020,  0.017,  0.027,  0.074,  0.186, -0.361,  0.193,  0.031,  0.008,  0.011,  0.033,  0.022, -0.034
2004,  0.126,  0.148,  0.033, -0.017, -0.307, -0.075, -0.254, -0.261, -0.100, -0.072,  0.041, -0.054, -0.066, -0.045,  0.156, -0.097, -0.197, -0.044
2005,  0.138,  0.048,  0.127,  0.114,  0.110,  0.108,  0.029, -0.052,  0.017,  0.103,  0.048,  0.081,  0.073,  0.061,  0.044,  0.117,  0.028,  0.056
2006, -0.016,  0.215,  0.012, -0.119, -0.113,  0.033, -0.115, -0.072, -0.117, -0.062, -0.040,  0.012, -0.032, -0.026,  0.093, -0.073, -0.051, -0.073
2007,  0.196,  0.087, -0.000,  0.101, -0.004, -0.011, -0.015, -0.103, -0.180, -0.103, -0.102, -0.209, -0.029, -0.010,  0.098,  0.032, -0.043, -0.128
2008, -0.423, -0.344,  0.015, -0.153, -0.169, -0.253, -0.089, -0.198, -0.146, -0.128, -0.082, -0.078, -0.171, -0.182, -0.325, -0.102, -0.180, -0.118
2009, -0.009, -0.027, -0.401, -0.200, -0.075,  0.001,  0.099, -0.011, -0.030, -0.090, -0.003,  0.019, -0.061, -0.069, -0.038, -0.225,  0.030, -0.041
2010,  0.061,  0.132,  0.150,  0.079,  0.001, -0.019, -0.128, -0.061, -0.079, -0.085,  0.048, -0.109, -0.001,  0.010,  0.071,  0.077, -0.069, -0.039
2011, -0.136, -0.158, -0.138, -0.040, -0.111, -0.027,  0.116,  0.050, -0.092, -0.117, -0.250, -0.178, -0.090, -0.084, -0.134, -0.097,  0.046, -0.153
2012, -0.236, -0.173, -0.183, -0.009,  0.088,  0.032, -0.102, -0.039, -0.014,  0.074, -0.024, -0.173, -0.063, -0.063, -0.195, -0.034, -0.036,  0.012
2013,  0.021, -0.125, -0.028, -0.144, -0.125,  0.030, -0.181, -0.091,  0.013, -0.073,  0.003,  0.048, -0.054, -0.073, -0.092, -0.099, -0.081, -0.019
2014,  0.043, -0.176, -0.055,  0.087,  0.133,  0.041,  0.029,  0.119,  0.125,  0.100, -0.028,  0.102,  0.043,  0.039, -0.029,  0.055,  0.063,  0.066
2015,  0.108,  0.222,  0.151, -0.053,  0.046,  0.030,  0.029,  0.091,  0.156,  0.256,  0.172,  0.358,  0.130,  0.109,  0.144,  0.048,  0.050,  0.194
2016,  0.375,  0.562,  0.489,  0.333,  0.216,  0.176,  0.242,  0.245,  0.247,  0.166,  0.266,  0.220,  0.295,  0.306,  0.432,  0.346,  0.221,  0.226
2017,  0.324,  0.399,  0.401,  0.120,  0.178,  0.061,  0.133,  0.094,  0.104,  0.087,  0.031,  0.175,  0.176,  0.179,  0.314,  0.233,  0.096,  0.074
2018,  0.125,  0.183,  0.142,  0.103,  0.054,  0.035,  0.031, -0.035, -0.017,  0.151, -0.057,  0.113,  0.069,  0.074,  0.161,  0.100,  0.010,  0.025
2019,  0.183,  0.245,  0.427,  0.230,  0.159,  0.237,  0.274,  0.208,  0.231,  0.319,  0.242,  0.352,  0.259,  0.239,  0.181,  0.272,  0.240,  0.264
2020,  0.325,  0.390,  0.305,  0.334,  0.280,  0.266,  0.250,  0.231,  0.255,  0.186,  0.330,  0.046,  0.266,  0.292,  0.356,  0.306,  0.249,  0.257
2021,  0.103,  0.070,  0.093,  0.078,  0.096,  0.118,  0.204,  0.128,  0.152,  0.107,  0.081,  0.177,  0.117,  0.106,  0.073,  0.089,  0.150,  0.113
2022,  0.253,  0.255,  0.352,  0.231,  0.107,  0.233,  0.166,  0.068,  0.073,  0.087, -0.163,  0.067,  0.144,  0.153,  0.228,  0.230,  0.156, -0.001
2023,  0.126,  0.284,  0.494,  0.240,  0.234,  0.422,  0.536,  0.471,  0.606,  0.448,  0.431,  0.525,  0.401,  0.363,  0.159,  0.322,  0.476,  0.495
2024,  0.497,  0.670,  0.554,  0.432,  0.381,  0.448,  0.392,  0.427,  0.373,  0.244,  0.168,  0.287,  0.406,  0.426,  0.564,  0.456,  0.423,  0.262
2025,  0.484,  0.387,  0.380,  0.274,  0.123,  0.108,  0.070,  0.067,  0.187,  0.005, -0.074, -0.138,  0.156,  0.192,  0.386,  0.259,  0.082,  0.039
2026,  0.127,  0.087,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.026,*******,*******,*******
Global Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.047,  0.098,  0.089, -0.153, -0.069, -0.140, -0.048, -0.182, -0.082, -0.209, -0.186, -0.238, -0.089, -0.080,  0.006, -0.045, -0.123, -0.159
2003,  0.024, -0.106, -0.192, -0.182, -0.108, -0.193, -0.082, -0.075, -0.098, -0.030, -0.249,  0.065, -0.102, -0.128, -0.107, -0.161, -0.117, -0.126
2004, -0.144,  0.037, -0.162, -0.124, -0.344, -0.231, -0.406, -0.267, -0.219, -0.143, -0.049, -0.176, -0.186, -0.166, -0.014, -0.210, -0.302, -0.137
2005,  0.027, -0.089, -0.049, -0.063, -0.085, -0.021, -0.047, -0.115, -0.003,  0.011, -0.032, -0.004, -0.039, -0.053, -0.079, -0.066, -0.061, -0.008
2006, -0.162,  0.052, -0.158, -0.265, -0.231, -0.008, -0.119, -0.005, -0.061, -0.045, -0.040,  0.111, -0.078, -0.087, -0.038, -0.218, -0.044, -0.049
2007,  0.293,  0.017, -0.075,  0.040, -0.023, -0.058, -0.065, -0.116, -0.115, -0.159, -0.185, -0.184, -0.052, -0.028,  0.140, -0.019, -0.080, -0.153
2008, -0.423, -0.304, -0.043, -0.193, -0.215, -0.177, -0.060, -0.262, -0.114, -0.082, -0.080, -0.144, -0.175, -0.178, -0.304, -0.150, -0.166, -0.092
2009, -0.076, -0.155, -0.257, -0.122, -0.059, -0.029,  0.074, -0.029, -0.003, -0.100,  0.023, -0.008, -0.062, -0.073, -0.125, -0.146,  0.005, -0.027
2010,  0.024,  0.152,  0.132,  0.119,  0.041,  0.008, -0.031, -0.050, -0.094, -0.039,  0.039, -0.227,  0.006,  0.024,  0.056,  0.097, -0.024, -0.031
2011, -0.197, -0.211, -0.134, -0.091, -0.182, -0.039,  0.043,  0.030, -0.165, -0.100, -0.180, -0.080, -0.109, -0.121, -0.212, -0.136,  0.011, -0.149
2012, -0.250, -0.201, -0.223, -0.003,  0.071, -0.023, -0.074, -0.059, -0.004,  0.046,  0.005, -0.153, -0.072, -0.066, -0.177, -0.052, -0.052,  0.016
2013, -0.013, -0.067, -0.117, -0.201, -0.112,  0.028, -0.062, -0.010,  0.043, -0.057,  0.059,  0.019, -0.041, -0.055, -0.078, -0.143, -0.015,  0.015
